objectid,title,creator,date,description,subject,location,source,type,language,rights,rightsstatement,display_template,identifier,format,object_location,image_small,image_thumb,image_alt_text
buck001,"1910 Tattler ""Real Santa Claus""","Buck, Pearl Sydenstricker ",1910-12,"Poem written by Pearl Sydenstricker in Tattler, December 1910",Pearl S. Buck; Randolph-Macon Woman's College; Tattler; Poem,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,1910_dec_tattler_realsantaclaus,application/pdf,/objects/1910_dec_tattler_realsantaclaus.pdf,/objects/small/1910_dec_tattler_realsantaclaus_sm.jpg,/objects/thumbs/1910_dec_tattler_realsantaclaus_th.jpg,
buck002,1911 RMWC Freshman Class,Randolph-Macon Woman's College,1911,Image of the 1911 Freshman Class,Randolph-Macon Woman's College; Helianthus,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1911_freshmanclass,image/jpeg,/objects/1911_freshmanclass.jpg,/objects/small/1911_freshmanclass_sm.jpg,/objects/thumbs/1911_freshmanclass_th.jpg,
buck003,"1911 Tattler ""Village by the Sea""","Buck, Pearl Sydenstricker ",1911-03,"Short story written by Pearl Sydenstricker in Tattler, March 1911",Pearl S. Buck; Randolph-Macon Woman's College; Tattler; Short Story,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,1911_march_tattler_villagesea,application/pdf,/objects/1911_march_tattler_villagesea.pdf,/objects/small/1911_march_tattler_villagesea_sm.jpg,/objects/thumbs/1911_march_tattler_villagesea_th.jpg,
buck004,"1911 Tattler ""America's Position in Music and Art""","Buck, Pearl Sydenstricker ",1911-05,"Essay written by Pearl Sydenstricker in Tattler, May 1911",Pearl S. Buck; Randolph-Macon Woman's College; Tattler; Essay,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,1911_may_tattler_amerposmusart,application/pdf,/objects/1911_may_tattler_amerposmusart.pdf,/objects/small/1911_may_tattler_amerposmusart_sm.jpg,/objects/thumbs/1911_may_tattler_amerposmusart_th.jpg,
buck005,"1912 Helianthus ""By the Hand of a Child""","Buck, Pearl Sydenstricker ",1912,Short story written by Pearl Sydenstricker in the 1912 Helianthus,Pearl S. Buck; Randolph-Macon Woman's College; Helianthus; Short Story,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,1912_helianthus_handchild,application/pdf,/objects/1912_helianthus_handchild.pdf,/objects/small/1912_helianthus_handchild_sm.jpg,/objects/thumbs/1912_helianthus_handchild_th.jpg,
buck006,1912 RMWC Sophomore Class,Randolph-Macon Woman's College,1912,Image of the 1912 Sophomore Class,Randolph-Macon Woman's College; Helianthus,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1912_sophomoreclass,image/jpeg,/objects/1912_sophomoreclass.jpg,/objects/small/1912_sophomoreclass_sm.jpg,/objects/thumbs/1912_sophomoreclass_th.jpg,
buck007,1913 RMWC Junior Class,Randolph-Macon Woman's College,1913,Image of the 1913 Junior Class,Randolph-Macon Woman's College; Helianthus,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1913_juniorclass,image/jpeg,/objects/1913_juniorclass.jpg,/objects/small/1913_juniorclass_sm.jpg,/objects/thumbs/1913_juniorclass_th.jpg,
buck008,1914 Helianthus Am Sams,Randolph-Macon Woman's College,1914,Image of the 1914 Helianthus Am Sams Page,Pearl S. Buck; Randolph-Macon Woman's College; Helianthus; Am Sams,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1914_amsams,image/jpeg,/objects/1914_amsams.jpg,/objects/small/1914_amsams_sm.jpg,/objects/thumbs/1914_amsams_th.jpg,
buck009,"1914 Tattler ""An Eastern Lullaby""","Buck, Pearl Sydenstricker ",1914,"Poem written by Pearl Sydenstricker in Tattler, April 1914",Pearl S. Buck; Randolph-Macon Woman's College; Tattler; Poem,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,1914_apr_tattler_easternlullaby,application/pdf,/objects/1914_apr_tattler_easternlullaby.pdf,/objects/small/1914_apr_tattler_easternlullaby_sm.jpg,/objects/thumbs/1914_apr_tattler_easternlullaby_th.jpg,
buck010,1914 Helianthus Franklin Literary Society,Randolph-Macon Woman's College,1914,Image of the 1914 Franklin Literary Society,Randolph-Macon Woman's College; Helianthus; Franklin Literary Society,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1914_franklinlit_president,image/jpeg,/objects/1914_franklinlit_president.jpg,/objects/small/1914_franklinlit_president_sm.jpg,/objects/thumbs/1914_franklinlit_president_th.jpg,
